TransactionID,TransactionDT,TransactionAmt,card1,card4,card6,addr1,addr2,dist1,dist2,P_emaildomain,ProductCD,C1,C2,C3,C4,C5,DeviceType,DeviceInfo,isFraud
1019447,6874213,849.2552371009511,9066,visa,credit,599,31,3.219748242597442,5.885688525044381,gmail.com,C,1,0,3,3,3,desktop,Windows,0
1041331,930931,490.95256713735137,2535,mastercard,debit,583,83,16.879854408996824,21.058586613291208,aol.com,C,2,2,3,2,1,mobile,Windows,0
1014888,7380708,26.286160910280525,5313,mastercard,debit,431,27,111.47667777277637,127.37080141319557,hotmail.com,C,1,1,3,2,1,desktop,Windows,0
1088636,13940969,33.315316233948614,4279,discover,credit,471,70,11.781702087717328,29.17980723533919,aol.com,C,4,2,3,2,1,desktop,Windows,0
1094892,4466832,19.63947113383537,3980,visa,credit,359,44,19.838029795632078,10.069500813248201,gmail.com,W,4,2,1,1,3,desktop,Windows,0
1092731,11307531,7.83721951616859,9724,visa,credit,339,69,111.84918310512796,88.46788925123565,outlook.com,C,2,0,0,3,3,mobile,iOS,0
1029130,2459546,165.13016461911647,2459,amex,debit,197,77,19.532488745692557,23.44926768677302,hotmail.com,C,0,2,3,2,4,desktop,iOS,0
1079022,3908367,35.92285833111015,5580,visa,credit,260,74,7.690502421540882,1.3974608279654008,msn.com,R,2,0,0,3,1,desktop,Windows,0
1084936,13792135,21.4152363027055,7036,visa,credit,161,40,5.848342056905929,7.531108258837323,gmail.com,C,3,2,4,0,2,desktop,Windows,0
1016821,8497686,25.6648001920445,2363,discover,credit,494,10,30.291172566102748,40.39975357204794,iCloud.com,S,2,2,0,1,5,desktop,Windows,0
1036733,10510861,278.86518107061715,2915,discover,credit,102,60,30.662402544533908,33.1591308976949,aol.com,W,2,2,1,1,1,tablet,Windows,0
1015602,2697688,160.12297960058672,8547,amex,debit,325,49,19.61178391300347,15.621069948879864,hotmail.com,W,0,2,0,3,2,desktop,Windows,0
1028533,12594098,33.521001113225495,3480,mastercard,debit,206,37,21.400295023367192,8.480971449042984,protonmail.com,S,4,0,2,2,3,desktop,iOS,0
1069769,6587720,146.98402279047224,5616,visa,debit,201,63,19.820296635495286,22.316319036544314,aol.com,S,2,0,2,0,0,desktop,Windows,0
1011405,10887162,15.034344475161824,1296,amex,credit,486,22,16.215933933554595,13.625451114533552,hotmail.com,H,1,0,4,3,0,desktop,Windows,0
1096852,9582,568.6112676762752,6545,visa,debit,258,44,285.60175813381426,250.24576105783777,mailnull.com,H,3,5,1,1,5,mobile,Windows,1
1016130,11227410,109.7623667127213,8858,mastercard,debit,455,81,2.058802370184067,2.00367594652004,gmail.com,R,3,2,1,2,1,mobile,iOS,0
1019792,2198501,27.34986011626356,3332,mastercard,credit,329,26,53.08923593150722,49.421457792103496,yahoo.com,S,0,0,2,2,4,desktop,iOS,0
1089577,4113283,10.369093567263654,1751,mastercard,credit,532,20,31.266522061614094,10.718388111434528,hotmail.com,C,2,0,1,2,3,desktop,Windows,0
1040163,12509463,79.21523483719743,5930,mastercard,credit,439,13,24.39824670645236,15.569671154731036,aol.com,C,0,2,2,2,0,mobile,Windows,0
1031776,11882628,39.30856224394633,2352,visa,credit,140,72,56.708659387336034,69.5177290462943,outlook.com,W,1,0,4,3,4,mobile,Android,0
1025330,88264,90.30980112291782,1841,amex,credit,164,22,162.47526619639757,172.50496645622508,gmail.com,W,1,2,2,2,4,desktop,Windows,0
1079156,12229970,17.728427335673206,1778,discover,credit,394,61,26.388464115868338,27.65277223332351,outlook.com,H,3,0,2,1,3,mobile,MacOS,0
1051685,1340506,73.60859166251242,5097,visa,credit,258,25,68.57031425929775,64.16979869969455,protonmail.com,C,3,1,2,0,4,desktop,Windows,0
1075498,14151702,10.078672166470357,9918,mastercard,debit,160,57,22.674702030110836,10.220743413046447,msn.com,H,1,2,2,0,1,desktop,iOS,0
1004727,10760565,52.4422454035115,8933,visa,credit,106,41,156.9435663910067,144.02032184066678,msn.com,H,2,1,2,0,1,desktop,MacOS,0
1085198,13842275,18.069068320329745,7525,visa,credit,294,75,35.63451111064339,22.98478549009177,outlook.com,H,3,2,1,1,1,desktop,Windows,0
1035795,1854919,8.86350599628841,9047,mastercard,debit,434,66,43.20762592836251,44.52116285165029,outlook.com,C,3,0,2,1,1,desktop,Windows,0
1012256,13275239,53.37482758576069,4490,amex,debit,366,90,26.225981908190203,36.13775604008602,protonmail.com,W,0,1,2,0,3,desktop,Windows,0
1035718,5947177,41.86263658961512,8796,visa,debit,288,86,10.599011225242204,4.011842698395522,iCloud.com,R,3,2,4,3,4,desktop,iOS,0
1070551,1416675,59.33311184228708,6442,mastercard,debit,237,53,31.147234160351967,41.33941090137435,msn.com,W,4,1,4,0,0,tablet,Windows,0
1054374,3474639,14.390806119497338,3147,amex,credit,522,70,86.56248296368732,91.94005862085731,aol.com,W,2,0,4,3,1,tablet,Windows,0
1039691,12624174,76.91385513805449,9839,mastercard,credit,315,66,14.624952030333185,22.289580063301237,yahoo.com,R,3,1,0,1,0,desktop,iOS,0
1093702,13699374,20.188083845440865,3125,amex,debit,380,81,100.95739221502605,118.4192897600435,yahoo.com,S,0,2,0,1,1,desktop,Windows,0
1073691,12123979,14.005520156356948,9761,visa,credit,159,60,2.413434415598175,14.534290515479169,outlook.com,H,0,1,0,2,3,desktop,MacOS,0
1098070,44604,564.7549082565889,5787,discover,credit,467,43,326.59623506132147,293.9410649281576,trashmail.com,S,13,8,3,2,0,mobile,Android,1
1000575,2132532,96.03214654624495,5964,visa,credit,157,41,6.72264395655473,11.958990789628224,aol.com,H,2,1,0,0,2,desktop,Windows,0
1084610,11404732,29.706240672388248,5478,mastercard,debit,557,53,18.916478154051035,38.16124967816837,msn.com,H,1,0,0,2,5,desktop,Windows,0
1061769,13341977,41.88736372395101,9078,mastercard,credit,257,90,37.762179142127785,30.897010351320073,yahoo.com,H,2,2,1,0,4,desktop,Windows,0
1032260,3615036,110.20750098992119,8987,discover,credit,159,44,156.63062640225843,197.97731361417263,protonmail.com,S,2,0,4,3,5,desktop,Windows,0
1082199,1821457,19.932931552239033,9106,visa,credit,105,51,58.964811410708506,51.71732736350894,msn.com,W,3,0,1,0,4,desktop,Android,0
1036290,7553199,21.163801001815838,9705,visa,credit,285,96,54.58123756209101,53.13877103847621,yahoo.com,C,4,2,4,0,3,mobile,MacOS,0
1078449,3377298,242.1640050357769,3060,visa,credit,476,88,1.302816997501379,6.4880678173518405,protonmail.com,S,4,1,4,0,2,desktop,iOS,0
1060055,3893577,160.23485264322994,8299,mastercard,credit,123,97,115.09289192089554,117.98014039217442,gmail.com,W,2,0,3,3,4,desktop,Android,0
1045948,14508447,21.439221355061196,4755,discover,debit,281,93,9.532222781570248,10.924069675488342,msn.com,H,1,2,3,1,0,desktop,Windows,0
1028177,15140211,165.56147681208577,2861,visa,credit,215,92,35.11885514857887,41.8680786561485,msn.com,H,3,0,2,3,2,desktop,Windows,0
1084463,5947568,138.32001456097566,5801,visa,debit,253,35,3.0347131946374004,3.910432915726913,yahoo.com,C,0,1,1,0,0,mobile,Windows,0
1000578,8382375,63.89401605135992,7042,discover,credit,521,13,46.263661253090895,49.86823610197507,msn.com,C,2,0,2,2,2,mobile,Linux,0
1030959,7561202,83.61265551711159,8747,mastercard,credit,409,41,281.0157196459241,263.125925868334,protonmail.com,H,1,2,4,0,0,desktop,MacOS,0
1064290,1613901,79.08477471233513,1054,visa,debit,331,49,56.628019204656475,58.96001398026513,iCloud.com,W,0,2,0,3,4,mobile,Windows,0
1014531,6616358,59.957562526736766,2846,visa,debit,297,37,24.517222570654532,28.770280607248637,gmail.com,C,0,0,0,2,1,desktop,iOS,0
1017933,2149271,588.3489556596053,3971,amex,credit,495,70,30.782818266756852,31.893700224547747,aol.com,C,0,1,3,1,1,tablet,MacOS,0
1033608,3563725,9.937134316971235,1155,visa,credit,497,97,0.44228442898240955,7.791910537031065,iCloud.com,H,3,1,1,1,0,desktop,Windows,0
1049959,2773618,31.1222736452132,7725,discover,credit,509,58,119.54555732622154,118.20814637545467,msn.com,R,3,0,4,2,1,desktop,Windows,0
1066598,1839024,171.7334321142225,8406,discover,debit,597,62,10.482857527226685,6.0711902465995715,msn.com,W,0,0,4,0,5,desktop,MacOS,0
1099089,338157,530.5964490148169,8263,amex,debit,353,74,431.076781993276,467.7130242785726,sharklasers.com,W,12,6,4,0,4,tablet,Android,1
1034451,6128609,246.78470678217639,3662,visa,debit,323,98,6.696933280316451,12.26910008835199,msn.com,W,3,0,2,2,4,mobile,MacOS,0
1034080,9849453,32.85165007899068,6139,visa,debit,136,35,70.47046928680237,70.9712220191912,gmail.com,W,4,2,4,3,3,mobile,Windows,0
1063587,10176660,52.19288331826037,6328,discover,credit,522,15,40.403026460659675,44.04541794104644,gmail.com,W,1,2,3,3,1,desktop,Windows,0
1004293,355227,126.92812277459312,1972,mastercard,credit,541,27,2.390202247448473,5.810889813708927,msn.com,W,1,2,2,3,1,desktop,MacOS,0
1069102,3375380,64.56331048797789,3064,amex,debit,174,72,87.77379900846648,101.49178375332755,outlook.com,H,1,1,2,2,5,desktop,Android,0
1086411,243008,23.90306174926267,6854,amex,debit,326,20,49.7325357092154,41.07834053763246,aol.com,H,0,1,0,2,2,tablet,Windows,0
1099476,159558,659.585808304804,5982,mastercard,credit,406,17,685.0452086026836,760.1329794314523,iCloud.com,W,5,4,0,3,3,tablet,Android,1
1053929,1005378,23.049486182263767,4386,visa,credit,491,76,20.862321992911802,27.239490536484187,yahoo.com,C,3,1,2,1,4,mobile,Windows,0
1087070,15077464,19.26065532811004,5210,mastercard,credit,430,89,84.06332772484618,74.82773579966045,outlook.com,C,2,0,1,2,5,desktop,iOS,0
1065083,15280432,56.089483172373676,7900,discover,credit,573,56,49.415665811778,52.573007215524655,yahoo.com,W,1,0,0,2,2,desktop,Android,0
1030712,14309528,11.47946193934002,5235,discover,credit,106,31,61.588587285147824,75.09841032800094,iCloud.com,S,1,1,3,2,1,tablet,Windows,0
1049182,8336205,34.3925800683677,8467,amex,credit,308,93,56.15591034890224,57.00041792776008,outlook.com,W,3,0,1,2,1,mobile,Android,0
1057234,14900564,207.55980588942157,7197,visa,credit,394,39,39.87858720862896,35.20357591998803,aol.com,C,2,2,0,1,1,tablet,Android,0
1015663,12829200,31.75148100872996,7774,visa,credit,539,53,56.87467655228773,67.43254833649374,outlook.com,R,3,2,1,1,1,desktop,MacOS,0
1019966,9243689,46.36554146561585,1887,amex,debit,540,80,1.7859660704113873,0.6560483399765662,outlook.com,C,4,2,1,2,1,tablet,Windows,0
1091912,4052075,343.8956137829057,6653,mastercard,credit,163,27,40.42092946591955,59.283114881062374,yahoo.com,R,3,2,0,1,3,desktop,MacOS,0
1091957,6652852,24.162276352192205,8554,amex,credit,331,79,57.35258826059438,48.919983975946344,hotmail.com,H,0,2,1,2,2,mobile,iOS,0
1081346,8254838,78.85329635818289,9792,discover,credit,539,94,49.822950738039175,62.63356821306799,msn.com,C,3,1,1,2,4,desktop,Linux,0
1055325,15085519,41.39293266011559,5456,amex,credit,356,67,1.213343580686844,1.9058562785427113,iCloud.com,C,2,1,1,0,0,mobile,MacOS,0
1029857,9447234,8.785162220135339,5386,mastercard,credit,591,52,10.173083293739916,14.786681127040733,gmail.com,C,2,0,1,2,1,desktop,MacOS,0
1071222,10953813,169.38709085877917,6773,mastercard,debit,237,61,168.10141175373246,148.596947638893,iCloud.com,R,1,2,3,3,4,desktop,iOS,0
1052458,9801449,28.275552298531018,8973,amex,debit,488,48,10.640650801191102,10.477763066921487,msn.com,H,1,2,2,2,1,mobile,MacOS,0
1088345,11548964,25.456461180009196,4301,mastercard,debit,205,30,80.66560544464222,75.7052651653622,protonmail.com,C,2,1,4,3,4,mobile,Windows,0
1082363,13437652,28.22390919149517,3067,mastercard,debit,147,92,120.9589347297759,100.93472547821177,msn.com,S,0,1,0,3,5,desktop,Windows,0
1065349,12539910,286.4534288855081,1231,mastercard,debit,539,88,22.9080866598608,15.476560684562621,protonmail.com,W,1,0,4,3,0,desktop,MacOS,0
1059649,5872896,71.53194338295977,9371,visa,debit,363,88,48.957591263185066,56.08721768583881,protonmail.com,H,3,0,4,2,2,desktop,Android,0
1044952,8450484,118.72139234107976,4714,visa,debit,365,34,60.29162112502018,58.019359339614496,iCloud.com,S,4,1,3,3,2,desktop,Windows,0
1039525,7683765,37.24982860341337,1056,visa,debit,154,30,51.12655654920039,65.83528689653588,yahoo.com,C,1,2,3,3,3,desktop,Windows,0
1013935,13005858,24.845172764336407,3745,discover,debit,317,51,41.33037673487364,51.78629665775773,iCloud.com,C,1,1,0,0,1,desktop,MacOS,0
1093780,15506300,10.489071453279903,9366,visa,debit,519,93,27.823211878778793,38.15162065160289,yahoo.com,R,3,2,3,0,3,mobile,MacOS,0
1089884,11873931,44.679146344617806,7577,discover,debit,389,84,11.426437671519833,22.49651977037806,msn.com,H,1,1,4,2,0,tablet,Windows,0
1081143,8493074,12.319837312014046,8590,amex,debit,460,42,48.432828722460506,36.6839536516831,protonmail.com,W,2,0,2,1,1,desktop,Linux,0
1095799,5077947,62.51746479222658,9399,discover,debit,106,57,22.871354615711077,21.729718193109946,iCloud.com,W,0,1,0,0,3,desktop,Android,0
1089404,12694390,125.79914138833662,1974,amex,debit,475,18,7.3484532362253425,18.10212894225186,aol.com,H,1,2,1,3,5,mobile,MacOS,0
1055223,3224843,558.6378835052495,8191,amex,credit,541,27,4.313023470936619,12.102234689993331,msn.com,H,1,1,2,1,5,mobile,iOS,0
1073645,14993591,41.81954652292155,6682,discover,credit,571,11,56.106772977698874,37.08631887338588,aol.com,C,0,2,4,2,2,desktop,Windows,0
1066293,5106582,44.42225482627258,7887,amex,debit,598,44,91.78690711513401,88.25438256766346,aol.com,C,3,0,3,1,1,mobile,MacOS,0
1065539,3363728,594.8225650234991,2509,visa,credit,512,55,18.5803549412563,15.012964131124054,protonmail.com,C,0,1,0,2,0,tablet,Windows,0
1028110,9355540,55.104041897728706,2350,amex,debit,335,85,34.884015281848164,34.44959001813776,protonmail.com,C,0,0,0,1,4,desktop,Windows,0
1041928,5689240,106.85507581561644,6575,discover,credit,470,80,120.4753898122548,97.96872419485835,hotmail.com,C,0,2,3,2,4,desktop,MacOS,0
1086546,4714780,53.27265285083567,9285,mastercard,debit,137,30,29.340858428714682,24.563617708440074,outlook.com,H,4,0,1,0,2,desktop,Windows,0
1082585,377716,4.938189099741871,5262,discover,debit,462,68,4.64025320977051,3.1365051107922604,protonmail.com,H,3,2,1,1,1,mobile,Windows,0
1038603,4119970,45.251604629470705,1174,visa,debit,244,17,159.77973290171425,176.011009825716,outlook.com,W,3,1,1,2,2,tablet,Windows,0
1091657,12878628,13.316087490635445,5256,amex,credit,278,13,101.65288499172875,92.83736030837305,iCloud.com,C,4,0,2,0,2,desktop,iOS,0
1062786,2048936,296.282182249336,9926,discover,credit,148,30,1.6005575830045977,8.022315227340698,iCloud.com,C,0,1,2,3,0,mobile,MacOS,0
1084340,3527329,20.469565912369486,5384,amex,credit,192,65,57.11391240427363,58.84085088190035,outlook.com,S,2,2,3,3,3,desktop,Windows,0
1039874,11390197,24.83675747137944,9540,mastercard,credit,190,88,30.424546901069643,32.656788493052204,outlook.com,W,0,1,4,1,4,desktop,Windows,0
1078468,9598227,111.97569442248633,6114,discover,debit,458,69,227.77385108168926,192.29639460793405,hotmail.com,W,4,2,1,1,2,mobile,MacOS,0
1031631,7600791,189.01978849490362,7663,mastercard,debit,548,20,5.185003618109174,5.619964937395669,iCloud.com,S,3,0,4,0,1,tablet,MacOS,0
1014952,14100902,54.903059201364044,3993,discover,credit,473,70,71.83266598426553,54.178419312372604,gmail.com,C,3,1,2,0,5,mobile,MacOS,0
1039331,14992011,121.95978013264305,5454,mastercard,credit,199,56,10.527368849889331,3.407338548618739,yahoo.com,S,3,2,1,1,1,desktop,MacOS,0
1048587,9532392,189.70365568364716,9896,visa,debit,342,25,13.364041474101892,28.381251720369995,outlook.com,W,4,2,0,3,3,desktop,Windows,0
1083594,955355,80.77093884224527,1458,visa,credit,518,13,108.10244951792542,87.17023424732027,yahoo.com,C,0,1,2,2,5,mobile,Windows,0
1041487,5480981,10.795560302695014,4058,visa,credit,267,52,12.46370552047485,5.152299205081917,aol.com,S,4,1,2,0,2,mobile,MacOS,0
1039627,9965004,172.50061947827805,8770,mastercard,credit,261,46,13.000612759391325,17.819301448569394,hotmail.com,C,2,1,2,3,5,tablet,iOS,0
1087894,3080932,20.991608246389916,7212,discover,credit,376,75,73.82155836654255,64.74970916729907,protonmail.com,C,3,0,1,0,5,mobile,Android,0
1026303,7389168,51.22122911980505,3580,mastercard,credit,147,40,15.96865578201344,21.653249827749107,protonmail.com,H,1,2,0,3,5,desktop,iOS,0
1067403,7371436,111.5203087837988,7037,amex,credit,208,89,29.755754339450252,32.8117662911413,yahoo.com,R,4,0,1,3,0,mobile,Windows,0
1098084,125881,400.1344669954961,3101,visa,debit,493,67,658.0017473079694,533.328762632733,yopmail.com,H,13,5,3,3,0,tablet,Windows,1
1095601,2528049,57.20839009791307,7126,discover,credit,190,17,40.86225250719945,29.53653129306079,hotmail.com,C,2,0,1,2,5,desktop,MacOS,0
1005019,5896694,99.95814927458811,8297,mastercard,credit,557,20,72.02625237383458,75.90953830646998,hotmail.com,W,4,1,1,2,4,desktop,MacOS,0
1005223,13217836,661.8240427434706,8465,visa,credit,272,98,19.352286601258605,16.48195740263381,yahoo.com,S,4,0,2,3,4,desktop,MacOS,0
1015780,5110217,44.900114398390976,2320,visa,credit,396,77,95.72924716607254,100.23075551790743,hotmail.com,S,1,1,1,3,4,tablet,iOS,0
1045556,5372191,22.407436446948047,3841,amex,credit,344,53,26.638870563681717,27.132955091046842,yahoo.com,C,1,1,3,1,4,mobile,Windows,0
1012896,2330436,71.8218840431502,3757,amex,credit,383,60,34.961051059458256,18.850007927705736,yahoo.com,W,1,0,2,3,3,desktop,MacOS,0
1034304,11120302,259.28005325543836,9413,discover,debit,156,29,13.565294503680919,4.236569882107014,outlook.com,C,0,1,2,3,1,desktop,Windows,0
1093322,1537834,19.763426532205226,3957,discover,credit,245,59,63.61379758399149,61.70710295013975,msn.com,W,4,2,3,2,2,desktop,iOS,0
1005324,4293209,30.76990655753221,4114,mastercard,debit,263,35,73.38586256006482,90.74818421661332,yahoo.com,R,0,0,4,2,4,mobile,MacOS,0
1052925,14797656,107.17304102951469,5776,discover,credit,529,67,29.874268538498217,32.73100548580336,yahoo.com,C,3,2,0,3,0,mobile,MacOS,0
1062864,12266683,59.62263465223129,5982,amex,debit,599,94,97.6823289655408,92.76266548179437,protonmail.com,C,4,0,2,1,4,mobile,Windows,0
1008018,2135323,85.25699572080585,7786,amex,debit,321,40,25.609247453211587,28.62956951006583,hotmail.com,H,2,0,3,0,0,desktop,Android,0
1082944,2621962,152.69494988836985,6768,mastercard,debit,579,36,30.563480090118837,24.39570149629056,msn.com,W,4,2,4,2,5,desktop,Linux,0
1090376,11318572,16.93967114242468,1232,discover,credit,135,64,2.3519176015911727,2.2779531467261678,aol.com,R,3,1,2,3,0,mobile,Android,0
1041720,6202197,317.420537145432,3179,discover,credit,574,91,58.38049454211649,80.29809814218564,gmail.com,H,0,2,1,1,0,mobile,MacOS,0
1000866,12564395,261.61078408596416,9389,mastercard,credit,359,25,18.85037863825187,7.458224171401001,outlook.com,S,4,2,1,0,4,tablet,Windows,0
1098443,430699,453.7439128047357,4175,discover,debit,502,81,423.24339471662375,458.743204566594,guerrillamail.com,C,3,8,0,1,1,mobile,MacOS,1
1083039,2415725,70.40068827181923,2555,discover,credit,163,22,5.91374313150621,4.9108797729314455,gmail.com,C,0,0,1,3,5,desktop,iOS,0
1013924,7996208,253.32197486251823,4048,mastercard,credit,492,84,34.6140156753489,31.86464759670813,outlook.com,C,4,1,1,2,1,tablet,MacOS,0
1079892,6506274,54.685613671453616,9804,amex,credit,227,89,28.04227532796068,38.50235539472557,yahoo.com,C,3,2,3,2,0,mobile,Windows,0
1031183,11834258,12.445707891510889,5342,mastercard,credit,333,82,5.044697233089333,10.883969282617807,aol.com,H,0,1,2,3,4,desktop,Windows,0
1013799,8557001,254.76577424317347,3827,mastercard,debit,538,24,0.6979295753772057,1.9378371272929162,outlook.com,C,3,1,4,2,2,mobile,Windows,0
1040988,1286750,33.623975585242796,6374,amex,credit,171,37,132.9770685575899,107.1950148120594,hotmail.com,C,3,2,3,3,2,mobile,iOS,0
1066733,8494349,457.02781568274804,1374,amex,credit,426,65,42.26704340868738,38.442532121414104,yahoo.com,C,2,2,2,3,3,mobile,Windows,0
1078330,13887306,1047.2893985875248,5683,visa,credit,366,66,69.18097874777068,76.53402995508516,hotmail.com,C,2,1,4,0,2,mobile,iOS,0
1024378,10929827,24.534338382521447,8465,amex,credit,378,73,88.53658234508835,120.3006378234534,gmail.com,C,4,1,1,3,5,mobile,Windows,0
1023414,8643498,26.799519621358147,1010,discover,credit,226,99,205.5713805551431,210.73576691407212,gmail.com,R,2,2,0,0,2,tablet,Android,0
1097559,136392,478.3365022275045,7831,amex,credit,359,16,101.31938206293921,87.63138454493085,hotmail.com,S,10,5,3,0,1,desktop,MacOS,1
1022992,9392183,47.18697048235846,1797,visa,debit,251,81,57.27326824208724,51.75949592340136,outlook.com,C,3,1,1,2,4,tablet,Windows,0
1003231,6483797,47.26099211855249,1680,mastercard,debit,516,50,168.68827185981306,164.79169677226767,iCloud.com,C,4,1,4,1,2,mobile,Android,0
1041995,5800238,35.53080520332598,5501,mastercard,credit,304,99,17.451720552148235,36.31943351555655,yahoo.com,H,1,2,3,0,3,desktop,Windows,0
1049187,6402632,114.32206371178764,6913,discover,credit,390,87,31.560608157912206,32.7056332626404,outlook.com,S,4,1,4,0,5,mobile,iOS,0
1022514,3714993,67.05421412471982,3319,amex,debit,590,90,142.9116524513005,143.73005766002208,gmail.com,S,4,0,4,2,0,desktop,Windows,0
1021325,12742103,119.42946610704499,6056,mastercard,credit,529,60,54.77726229424569,72.05539937320296,gmail.com,W,2,0,1,1,5,desktop,iOS,0
1086233,9897663,677.0821720405702,8803,mastercard,debit,594,42,21.935459338499463,51.65954006427998,hotmail.com,H,3,2,2,0,1,tablet,Windows,0
1088126,4094279,22.265787620996786,5463,amex,credit,474,44,8.262175697069177,1.0611793509663139,hotmail.com,C,3,1,1,1,3,mobile,Windows,0
1029823,13763812,159.3213121928256,2732,visa,debit,251,77,226.47792553825673,208.06878748033392,gmail.com,H,3,2,3,0,1,desktop,Linux,0
1092484,14976632,97.58529121744502,9242,amex,credit,564,91,168.0660698522612,167.43620379705624,aol.com,W,1,1,4,0,5,desktop,iOS,0
1068424,6696824,12.097883713120067,6220,discover,credit,526,80,5.813753380232016,3.9836228593923764,yahoo.com,S,3,2,4,3,1,desktop,Windows,0
1064483,12954817,96.56807789737803,4475,mastercard,credit,365,34,16.127637668563956,14.720026047624323,outlook.com,S,3,2,0,0,1,tablet,iOS,0
1051019,1957357,41.264617494229135,9184,amex,credit,596,60,178.94883017391007,206.05125885489943,aol.com,S,1,2,3,3,3,mobile,Windows,0
1026753,1968272,29.528399173934158,8510,visa,credit,126,37,28.53235829759948,30.08710473533652,outlook.com,C,1,0,3,2,3,mobile,iOS,0
1049963,15369408,16.787394624285497,4511,amex,credit,392,12,24.538705216819125,26.200351393668683,protonmail.com,W,2,0,3,3,4,desktop,Android,0
1042731,6497200,101.06473931499858,1807,amex,debit,445,48,107.51700135723179,112.49848467016896,yahoo.com,C,4,0,2,2,4,desktop,Windows,0
1029056,5639662,30.764765287000966,5999,visa,credit,140,28,54.973868408199245,54.60731747360332,msn.com,C,4,2,1,2,5,desktop,Android,0
1055317,11366985,55.78667766358537,5310,amex,credit,136,55,44.68988895614751,56.385177403938215,iCloud.com,W,2,2,1,3,4,desktop,Windows,0
1035496,714289,41.99927415178597,5222,mastercard,debit,125,84,4.680757109342483,10.280299546567466,gmail.com,C,1,2,2,3,1,mobile,iOS,0
1056337,10300079,11.102306173270447,8354,mastercard,credit,532,53,31.602478866088628,22.721414259148382,outlook.com,H,3,0,4,1,5,tablet,MacOS,0
